"TRY_P"	"TRY_N"	"TRY_CN"	"TRY_LDMC"	"logHeight"	"TRY_SLA"	"Futterwert"	"Def.phys.num"	"Holz"
"67"	NA	NA	NA	0.258482598	-3.26267845498928	NA	2	0	0
"162"	NA	NA	NA	NA	-0.105360515657826	NA	NA	0	0
"133"	NA	NA	NA	NA	-1.66449769112656	NA	3	0	0
"65"	NA	13.6	NA	0.24469	-2.7263160099091	NA	NA	0	0
"61"	0.955	11.9411769	33.95989154	0.407052986	-1.4446408116902	11.57793422	4	0	0
"36"	NA	NA	NA	0.262337662	-2.48454308388609	17.31005435	NA	0	0
"85"	NA	30.34	14.39501105	0.24574	-1.99712449919062	25.72	3	2	0
"128"	NA	35.48157018	11.64677411	0.193	-1.26113121934236	18.47	1	0	0
"163"	1.74	21.29	21.19499775	0.1867	-1.53650544269842	22.78	6	0	0
"15"	NA	NA	NA	0.194	-2.59738012265343	NA	NA	0	0
"152"	0.942872782	10.8	51.98590031	0.39421363	-1.69847247468348	8.209536741	2	0	1
"20"	2.05	23.315	NA	0.16369	-1.60086366656559	NA	4	2	0
"105"	NA	NA	NA	0.471050099	0.693147180559945	NA	NA	0	1
"161"	NA	NA	NA	0.12683	-2.52964254362939	25.5	NA	3	0
"83"	3.26	23.26555556	18.41427661	0.213303835	-1.4059588704348	11.94316892	9	0	0
"47"	NA	52.347425	NA	0.18383	-1.08648610887027	26.32	2	1	0
"11"	3.3	25.47290231	14.62360595	0.2646766	-0.994092707696764	29.24	8	1	0
"80"	NA	NA	NA	0.276	NA	NA	7	0	0
"104"	1.655925569	25	18.25946276	0.225352113	-0.999022742065557	14.56865765	6	1	0
"14"	NA	NA	NA	NA	-1.34280924960568	NA	NA	3	0
"44"	1.6	23.55	NA	0.197	-0.554037624855745	18.86	4	3	0
"103"	2.5025	23.02803661	17.97401729	0.209745763	-0.768831220209657	15.39	6	2	0
"114"	NA	NA	NA	NA	-1.67397643357167	NA	NA	0	0
"35"	0.752	14.67	30.34560327	0.3828	-1.55589714550607	19.35	2	0	0
"37"	1.65	16.80520177	25.55517006	0.6	-0.599656837472606	30.15	3	2	0
"139"	NA	NA	NA	NA	-1.6476591252543	NA	2	0	0
"59"	1.91	29	16.06613118	0.338032897	-1.48126011224658	14.37504492	2	0	0
"39"	1.961100558	25.49641901	17.60616993	0.328	-1.79357930813083	19.78471458	2	0	0
"164"	NA	NA	NA	NA	-1.70787798524735	NA	6	0	0
"90"	NA	28.3	25.09449805	0.15494	-1.5293952032221	50.235	NA	0	0
"151"	1.055	18.92	28.56576825	0.40105	-0.949909073657544	12.37863582	NA	0	1
"27"	NA	NA	NA	0.373383156	-1.30667020256428	18.39	2	0	0
"38"	0.75	16.5	28.54545455	0.40994	-1.16181836350666	21.25	3	0	0
"74"	NA	NA	NA	0.255783918	-1.56353792556823	13.795	2	0	0
"75"	NA	NA	NA	0.25005	-1.34280924960568	9.97	2	0	0
"89"	NA	NA	NA	0.169985	-1.79576749062559	34.45	NA	2	0
"73"	1	16.9	NA	0.16894	-2.23983124781866	17.07	NA	0	0
"29"	1.039561617	17.25	23.9360676	0.35517	-1.03354971268377	11.99	5	0	0
"158"	NA	NA	NA	NA	-1.57262393931138	NA	NA	0	0
"106"	NA	NA	NA	NA	0.693147180559945	NA	NA	0	1
"16"	1.5	17.47238333	26.18923387	0.335073977	-1.04400403104756	28.0225187	3	2	0
"56"	0.81	10.99402871	53.15531068	0.406079592	-1.17460138209848	6.586656442	2	0	1
"28"	1	11.8	NA	0.377	-1.10028034510103	NA	NA	0	0
"93"	NA	NA	NA	0.209171677	-1.83258146374831	NA	NA	2	0
"135"	NA	24.7	22.66200321	0.20550667	-1.90923005670146	25.79332873	2	1	0
"87"	NA	NA	NA	NA	-0.819561105415604	NA	NA	2	0
"31"	1.1	16.05	NA	0.25063	-0.870481195842861	21.7	2	0	0
"32"	NA	NA	NA	0.20431	-1.68739945390381	27.925	NA	0	0
"33"	NA	NA	NA	0.26738	-1.31863571264608	25.87	NA	0	0
"97"	NA	NA	NA	NA	-1.05160943507277	NA	NA	0	0
"145"	1.18	NA	NA	0.1685	-1.13943428318836	NA	NA	0	0
"123"	NA	19.525	NA	0.173235	-2.07944154167984	23.74	3	0	0
"30"	1.1	16.05	NA	0.25063	-0.870481195842861	21.7	2	0	0
"77"	1.395	17.08	NA	0.183895	-0.973617226309444	23.305	NA	0	0
"54"	1.508655639	23.4	26.55412867	0.346331452	-1.56144436071422	14.55701121	3	0	0
"71"	NA	NA	NA	0.167124542	NA	NA	NA	2	0
"88"	NA	20.33166667	21.28485942	0.285137143	-2.49826087383801	13.495	NA	2	0
"69"	2.27	24.545	NA	0.22559	-1.82596279056955	NA	NA	1	0
"129"	NA	NA	NA	0.508646328	-0.850332764720655	NA	NA	0	1
"26"	NA	NA	NA	0.267645	-1.6274564201186	10.995	2	0	0
"138"	NA	NA	NA	0.23108	-1.94841327927343	17.26	3	0	0
"24"	NA	14.2	NA	0.22378	-0.858257700623546	NA	3	0	0
"49"	NA	NA	NA	NA	-1.00006061455126	NA	NA	4	0
